_SMB_DA_TOKEN_IDS_H_   
TOKEN_NOOP 0x0000  
TOKEN_IDE_AUTO 0x0003  
TOKEN_IDE_OFF 0x0004  
TOKEN_SER1_COM2 0x0005  
TOKEN_SER1_COM4 0x0006  
TOKEN_PP_DIS 0x0007  
TOKEN_PP_LPT1 0x0008  
TOKEN_PP_LPT2 0x0009  
TOKEN_PP_LPT3 0x000A  
TOKEN_PP_MODE_AT 0x000B  
TOKEN_PP_MODE_PS2 0x000C  
TOKEN_PP_MODE_ECP 0x000D  
TOKEN_PP_MODE_EPP 0x000E  
TOKEN_SER1_DIS 0x000F  
TOKEN_SER1_AUTO 0x0010  
TOKEN_SER1_COM1 0x0011  
TOKEN_SER1_COM3 0x0012  
TOKEN_SER2_DIS 0x0013  
TOKEN_SER2_AUTO 0x0014  
TOKEN_SER2_COM2 0x0015  
TOKEN_SER2_COM4 0x0016  
TOKEN_FLOP_DIS 0x0019  
TOKEN_FLOP_AUTO 0x001A  
TOKEN_FLOP_READONLY 0x001B  
TOKEN_BUILT_IN_POINT_DEV_EN 0x001C  
TOKEN_BUILT_IN_POINT_DEV_DIS 0x001D  
TOKEN_SPEAKER_DIS 0x001E  
TOKEN_SPEAKER_LOW 0x001F  
TOKEN_SPEAKER_MED 0x0020  
TOKEN_SPEAKER_HI 0x0021  
TOKEN_SOUND_EN 0x0022  
TOKEN_SOUND_DIS 0x0023  
TOKEN_PWRMGMT_DIS 0x0024  
TOKEN_PWRMGMT_MIN 0x0025  
TOKEN_PWRMGMT_REG 0x0026  
TOKEN_PWRMGMT_MAX 0x0027  
TOKEN_AUTOPWRON_DIS 0x0028  
TOKEN_AUTOPWRON_EVRYDAY 0x0029  
TOKEN_AUTOPWRON_WKDAYS 0x002A  
TOKEN_AUTOPWRON_HOUR 0x002B  
TOKEN_AUTOPWRON_MIN 0x002C  
TOKEN_NIC_EN_PXE 0x002D  
TOKEN_NIC_DIS 0x002E  
TOKEN_IRLOC_FRONT 0x002F  
TOKEN_IRLOC_BACK 0x0030  
TOKEN_IRDEV_DIS 0x0031  
TOKEN_IRDEV_COM1 0x0032  
TOKEN_IRDEV_COM2 0x0033  
TOKEN_IRDEV_COM3 0x0034  
TOKEN_IRDEV_COM4 0x0035  
TOKEN_REPSCSI_EN 0x0036  
TOKEN_REPSCSI_DIS 0x0037  
TOKEN_REPNIC_EN 0x0038  
TOKEN_REPNIC_DIS 0x0039  
TOKEN_MONITORTOG_EN 0x003A  
TOKEN_MONITORTOG_DIS 0x003B  
TOKEN_KBCLICK_EN 0x0040  
TOKEN_KBCLICK_DIS 0x0041  
TOKEN_NUMLOCK_EN 0x0042  
TOKEN_NUMLOCK_DIS 0x0043  
TOKEN_SCSI1_EN 0x0044  
TOKEN_SCSI1_DIS 0x0045  
TOKEN_SCSI2_EN 0x0046  
TOKEN_SCSI2_DIS 0x0047  
TOKEN_MEMCACHE_EN 0x0048  
TOKEN_MEMCACHE_DIS 0x0049  
TOKEN_PCISCAN_OBFIRST 0x004A  
TOKEN_PCISCAN_SLOTFIRST 0x004B  
TOKEN_BKUPREMIND_EN 0x004C  
TOKEN_BKUPREMIND_DIS 0x004D  
TOKEN_SPEAKER_EN 0x0050  
TOKEN_BOOTSEQ_DSKT 0x0051  
TOKEN_BOOTSEQ_HDONLY 0x0052  
TOKEN_BOOTSEQ_DEVLST 0x0053  
TOKEN_BOOTSEQ_CDROM 0x0054  
TOKEN_WOL_OFF 0x0055  
TOKEN_WOL_ADDIN 0x0056  
TOKEN_WOL_ONBOARD 0x0057  
TOKEN_MGMT_DRVR_PRES 0x0058  
TOKEN_MGMT_DRVR_ABSENT 0x0059  
TOKEN_RESET_BUTTON_EN 0x005A  
TOKEN_RESET_BUTTON_DIS 0x005B  
TOKEN_REMOTE_BIOS_UPDATE_EN 0x005C  
TOKEN_REMOTE_BIOS_UPDATE_DIS 0x005D  
TOKEN_U_CONNECT_EN 0x005E  
TOKEN_U_CONNECT_DIS 0x005F  
TOKEN_IR_MODE_FAST 0x0060  
TOKEN_IR_MODE_SLOW 0x0061  
TOKEN_AUDIO_MODE_DIS 0x0062  
TOKEN_AUDIO_MODE_HALF 0x0063  
TOKEN_AUDIO_MODE_FULL 0x0064  
TOKEN_EXT_HOTKEY_DIS 0x0065  
TOKEN_EXT_HOTKEY_EN 0x0066  
TOKEN_FDD_RECONFIG_ANYTIME 0x0067  
TOKEN_FDD_RECONFIG_POST 0x0068  
TOKEN_INTELLISPIN_VARIABLE 0x0069  
TOKEN_INTELLISPIN_HIGH_PERF 0x006A  
TOKEN_BIOS_PWROFF_ON_ENVERR_EN 0x006B  
TOKEN_BIOS_PWROFF_ON_ENVERR_DIS 0x006C  
TOKEN_WOL_ON 0x006D  
TOKEN_NIC_EN_WITHOUT_BOOT 0x006E  
TOKEN_PM_ENABLED 0x006f  
TOKEN_PM_DISABLED 0x0070  
TOKEN_SMART_CPU_ENABLED 0x0071  
TOKEN_SMART_CPU_DISABLED 0x0072  
TOKEN_RING_RESUME_EN 0x0073  
TOKEN_RING_RESUME_DIS 0x0074  
TOKEN_ALARM_RESUME_EN 0x0075  
